Index,  Total Population Change - Decade,  Natural Increase - Decade,  Births - Decade,  Deaths - Decade,  Total - Decade,  International - Decade,  Domestic - Decade,  Total Population Change - Annual,  Natural Increase - Annual,  Births - Annual,  Deaths - Annual,  Total - Annual,  International - Annual,  Domestic - Annual
44, 320424, 141612, 475777, 334165, 182147, 285199, -103052, 13483, 12428, 50726, 38298, 1139, 24391, -23252
45, 31636, 10172, 26198, 16026, 21441, 8470, 12971, 1560, 674, 2609, 1935, 896, 938, -42
46, 20627, 5949, 19566, 13617, 14662, 4654, 10008, 2376, 697, 2228, 1531, 1677, 107, 1570
47, 20330, 8056, 27849, 19793, 12195, 2148, 10047, 2197, 648, 3023, 2375, 1544, 75, 1469
48, 26428, 31206, 92947, 61741, -4739, 44863, -49602, -639, 2643, 9603, 6960, -3343, 4737, -8080
49, 16948, 41223, 65142, 23919, -24410, 4200, -28610, 1024, 3414, 6202, 2788, -2396, 11, -2407
50, 6394, 1334, 12065, 10731, 5067, 503, 4564, 497, -32, 1248, 1280, 530, 8, 522
51, -7631, -4, 111885, 111889, -6892, 24110, -31002, -1794, -324, 11823, 12147, -1444, 1339, -2783
52, 18354, 2158, 16914, 14756, 16212, 701, 15511, 2995, 330, 1976, 1646, 2655, 67, 2588
53, 9147, 5838, 20120, 14282, 3497, 5694, -2197, 472, 487, 2087, 1600, -10, 323, -333
54, 8366, 5788, 12990, 7202, 2616, 1323, 1293, 790, 445, 1319, 874, 348, 60, 288
55, -6905, -503, 40730, 41233, -6051, 1073, -7124, -810, -141, 4254, 4395, -652, 25, -677
56, 151822, -1952, 60521, 62473, 152286, 26032, 126254, 16107, -1190, 6760, 7950, 17226, 2183, 15043
57, 495, 1287, 10455, 9168, -771, 1220, -1991, -103, 132, 1080, 948, -234, 128, -362
58, -3384, 1846, 14376, 12530, -5323, 2432, -7755, -930, 22, 1431, 1409, -954, 212, -1166
59, 647, -1018, 5427, 6445, 1641, -181, 1822, 714, -39, 598, 637, 752, -43, 795
60, 4410, 3455, 9996, 6541, 826, 506, 320, 683, 219, 953, 734, 464, 103, 361
61, 15084, 10308, 30195, 19887, 4995, 3145, 1850, 971, 948, 3214, 2266, 36, 185, -149
62, 5396, 3065, 16994, 13929, 2510, 1461, 1049, 448, 98, 1730, 1632, 359, 53, 306
63, 8227, 10012, 23441, 13429, -1912, 17285, -19197, -251, 857, 2405, 1548, -1125, 1607, -2732
64, -20911, -5096, 27559, 32655, -15683, 716, -16399, -3206, -920, 2631, 3551, -2284, -25, -2259
