City,Tech_2010
"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",581897
"Peoria, IL (Metropolitan Statistical Area)",400716
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",26805333
"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",5693686
"Pine Bluff, AR (Metropolitan Statistical Area)",(D)
"Pittsburgh, PA (Metropolitan Statistical Area)",6487684
"Pittsfield, MA (Metropolitan Statistical Area)",164499
"Pocatello, ID (Metropolitan Statistical Area)",(D)
"Portland-South Portland, ME (Metropolitan Statistical Area)",648728
"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",(D)
"Port St. Lucie, FL (Metropolitan Statistical Area)",(D)
"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",700411
"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",107678
"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",2506564
"Provo-Orem, UT (Metropolitan Statistical Area)",(D)
"Pueblo, CO (Metropolitan Statistical Area)",87300
"Punta Gorda, FL (Metropolitan Statistical Area)",69692
"Racine, WI (Metropolitan Statistical Area)",212443
"Raleigh-Cary, NC (Metropolitan Statistical Area)",4273119
"Rapid City, SD (Metropolitan Statistical Area)",154893
"Reading, PA (Metropolitan Statistical Area)",339992
"Redding, CA (Metropolitan Statistical Area)",107493
"Reno, NV (Metropolitan Statistical Area)",(D)
"Richmond, VA (Metropolitan Statistical Area) *",(D)
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",2294600
"Roanoke, VA (Metropolitan Statistical Area) *",(D)
"Rochester, MN (Metropolitan Statistical Area)",240311
"Rochester, NY (Metropolitan Statistical Area)",2044835
"Rockford, IL (Metropolitan Statistical Area)",320911
"Rocky Mount, NC (Metropolitan Statistical Area)",(D)
"Rome, GA (Metropolitan Statistical Area)",165126
"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",3239711
"Saginaw, MI (Metropolitan Statistical Area)",208988
"St. Cloud, MN (Metropolitan Statistical Area)",(D)
"St. George, UT (Metropolitan Statistical Area)",(D)
"St. Joseph, MO-KS (Metropolitan Statistical Area)",(D)
"St. Louis, MO-IL (Metropolitan Statistical Area)",(D)
"Salem, OR (Metropolitan Statistical Area)",163093
"Salinas, CA (Metropolitan Statistical Area)",406598
"Salisbury, MD-DE (Metropolitan Statistical Area)",322613
"Salt Lake City, UT (Metropolitan Statistical Area)",2514382
"San Angelo, TX (Metropolitan Statistical Area)",(D)
"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",5490620
"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",7884556
"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",21928448
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",25424919
"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",176219
"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",176501
"Santa Fe, NM (Metropolitan Statistical Area)",361501
"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",828992
"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",527567
"Savannah, GA (Metropolitan Statistical Area)",228769
"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",1219449
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",31590872
"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",133095
"Sebring-Avon Park, FL (Metropolitan Statistical Area)",31632
"Sheboygan, WI (Metropolitan Statistical Area)",36971
"Sherman-Denison, TX (Metropolitan Statistical Area)",65455
"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",452875
"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",167945
"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",194719
"Sioux Falls, SD (Metropolitan Statistical Area)",508452
"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",263648
"Spartanburg, SC (Metropolitan Statistical Area)",112934
"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",508343
"Springfield, IL (Metropolitan Statistical Area)",(D)
"Springfield, MA (Metropolitan Statistical Area)",664531
