"","City","State","Region","Political_Leaning","Population_Change_Decade","Natural_Increase_Decade","Births_Decade","Deaths_Decade","Total_Decade","International_Decade","Domestic_Decade","Population_Change_Annual","Natural_Increase_Annual","Births_Annual","Deaths_Annual","Total._Annual","International_Annual","Domestic_Annual","City_data","GDP_2010","GDP_2018","Population_2010","Population_2018","Decade_GDP_Change","Population_Percent_Change","GDP_Percent_Change"
"216"," Macon"," GA","  South"," RED",-2249,4907,27200,22293,-7136,1769,-8905,402,41,2694,2653,378,143,235,"Macon-Bibb County, GA (Metropolitan Statistical Area)",9731657000,10423624000,232199,229594,691967000,0.988781174768194,1.07110474608795
"217"," Madera"," CA","  West"," BLUE",6493,11128,20999,9871,-4704,-383,-4321,445,1048,2108,1060,-603,-139,-464,"Madera, CA (Metropolitan Statistical Area)",5021701000,7099931000,150986,156882,2078230000,1.03904997814367,1.41384980905872
"218"," Madison"," WI","  Midwest"," RED",59399,28060,67559,39499,31480,15600,15880,4938,2535,6988,4453,2406,988,1418,"Madison, WI (Metropolitan Statistical Area)",36007275000,46529232000,606625,659927,10521957000,1.08786647434577,1.2922175310406
"219"," Manchester"," NH","  Northeast"," BLUE",16319,9873,39447,29574,6672,13569,-6897,2395,758,4148,3390,1652,1002,650,"Manchester-Nashua, NH (Metropolitan Statistical Area)",21500647000,25514840000,401055,414630,4014193000,1.03384822530576,1.18670103276427
"220"," Manhattan"," KS","  Midwest"," RED",3191,15192,21877,6685,-12490,7782,-20272,-1413,1310,2052,742,-2728,446,-3174,"Manhattan, KS (Metropolitan Statistical Area)",6825812000,6264831000,128521,131698,-560981000,1.02471969561395,0.917814759621273
"221"," Mankato"," MN","  Midwest"," BLUE",5185,3828,10317,6489,1386,1510,-124,350,339,1068,729,12,137,-125,"Mankato, MN (Metropolitan Statistical Area)",4601824000,5476129000,96844,101577,874305000,1.04887241336583,1.18999096879846
"222"," Mansfield"," OH","  Midwest"," RED",-3320,-161,12743,12904,-3129,238,-3367,167,-78,1319,1397,251,11,240,"Mansfield, OH (Metropolitan Statistical Area)",4099234000,4395247000,124162,120987,296013000,0.97442856912743,1.07221178395769
"223"," McAllen"," TX","  South"," RED",93943,105539,143366,37827,-11366,11748,-23114,6409,9457,14054,4597,-3056,-18,-3038,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",17299088000,21017756000,779149,862298,3718668000,1.1067177138134,1.21496323968061
"224"," Medford"," OR","  West"," BLUE",17740,44,21343,21299,17697,-141,17838,1533,-74,2251,2325,1611,-41,1652,"Medford, OR (Metropolitan Statistical Area)",6853863000,8219635000,203341,219411,1365772000,1.07902980707285,1.19927039685503
"225"," Memphis"," TN","  South"," RED",29943,64370,170921,106551,-34521,13637,-48158,3548,5367,17720,12353,-1816,1656,-3472,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",62073791000,67981434000,1317489,1342497,5907643000,1.01898156265441,1.09517129379129
"226"," Merced"," CA","  West"," BLUE",21884,23063,38618,15555,-1110,463,-1573,3529,2299,4086,1787,1237,-144,1381,"Merced, CA (Metropolitan Statistical Area)",7674491000,9435667000,256721,274151,1761176000,1.06789471839078,1.22948440489408
"227"," Miami"," FL","  South"," RED",600214,178095,626897,448802,422703,615283,-192580,22651,14384,67565,53181,8204,58819,-50615,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",257860365000,315031150000,5583394,6143837,57170785000,1.10037676008535,1.2217121851976
"228"," Michigan City"," IN","  Midwest"," RED",-1578,1109,12075,10966,-2616,81,-2697,-93,33,1248,1215,-120,7,-127,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",3893457000,3940402000,111459,109981,46945000,0.986739518567366,1.01205740810801
"229"," Midland"," MI","  Midwest"," RED",-465,1232,7933,6701,-1688,1160,-2848,-67,112,855,743,-177,64,-241,"Midland, MI (Metropolitan Statistical Area)",4085975000,4917510000,83651,83223,831535000,0.994883504082438,1.20350956626019
"230"," Midland"," TX","  South"," RED",40932,15880,26136,10256,24557,3307,21250,4417,1894,3084,1190,2509,328,2181,"Midland, TX (Metropolitan Statistical Area)",12279813000,35002235000,141783,178186,22722422000,1.25675151463857,2.85038827545664
"231"," Milwaukee"," WI","  Midwest"," RED",19225,59009,182815,123806,-39097,25298,-64395,1184,5117,18927,13810,-3863,1277,-5140,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",84669359000,92558816000,1556678,1573995,7889457000,1.01112433014406,1.09317959995422
